ID;Artist;Title;Rec. Comp.;Year;Type;Country;Cat. No. I;Cat. No. II;Barcode;Medium;Discs;Vinyl type;L.E.;Label lettering;Label background;Sleeve type;Sleeve graphics;Sleeve finish;Sleeve features;Sleeve lettering;Sleeve background;Price code;Inner bag;Insert;Sealed?;Remark
82;David Bowie and Mick Jagger;Dancing in the street (ext. dance mix) // (dub mix) / (edited version);EMI;1985;Commercial;Germany;1C K 060 20 0788 6;-;-;MA;1;Black;-;Multi;Grey;Single;PS;Satin;-;Multi;Multi;No;White die cut;No;No;Label variation: Song title and artist have same font size. One line of label rim text (in German only). GEMA (in box) above STEMRA (no box) on the labels
83;David Bowie and Pat Metheny Group;This is not America / (instr.);EMI;1985;Commercial;United Kingdom;12 EA 190;12EA 190;-;MA;1;Black;-;Multi;Grey;Single;AS;Satin;-;Black and green;White;No;No;No;No;-
84;David Bowie;When the wind blows (extended mix) / When the wind blows (instrumental);Virgin;1986;Commercial;Germany;608 613-213;;;MA;1;Black;-;Black and white;Red and green;Single;AS;;;White;Black and blue;;;No;;-
85;David Bowie;Day-In Day-Out (Extended Dance Mix) // Day-In Day-Out (Extended Dub Mix) / Julie;EMI;1987;Commercial;Germany;1C K 060 20 1715 6;;;MA;1;Black;-;Multi;Grey;Single;PS;;;Multi;Multi;;;No;;-
86;David Bowie;Starman;Melodia;1990;Pirate;USSR;C60 26469 001;;;LP;1;Black;-;Black;Red;Single;PS;Matt;-;Black and white;Multi;No;Plain white;No;No;No black horizontal line across label. orange and black sleeve
87;David Bowie;Space oddity;Ryko;1990;Commercial;USA;RALP 0131-2;;;LP;2;Clear;L.E.;White;Picture;Gatefold;PS;;OBI;Multi;Multi;;;;;With bonus LP (three bonus tracks)
88;David Bowie;The man who sold the world;Ryko;1990;Commercial;USA;RALP 0132-2;;;LP;2;Clear;L.E.;White;Picture;Gatefold;PS;;OBI;Multi;Multi;;;;;With bonus LP (four bonus tracks)
89;David Bowie;Hunky Dory;Ryko;1990;Commercial;USA;RALP 0133-2;;0 14431-0133-1 7;LP;2;Clear;L.E.;White;Picture;Gatefold;PS;;OBI;Black and white;Black and white;;;;;With bonus LP (four bonus tracks)
90;David Bowie;Sound + Vision;Ryko;1989;Commercial;USA;RALP 0120/21/22-2;-;0 14431-0120-1 3;LP;6;Clear;L.E.;White;Picture;Box;PS;Satin;Holster;White;Black and grey;No;Printed inner bags;No;No;-
91;David Bowie;Space oddity;RCA Victor;1979;Commercial;Germany;LSP-4813;26.21099;-;LP;1;Black;-;Silver;Black;Single;PS;;-;Pink and white;Multi;AO;;No;No;GEMA on labels
92;David Bowie;Twenty Bowie Classics;Decca;1983;Commercial;New Zealand;SKL5297;SKL 5297;-;LP;1;Black;-;Silver;Indigo;Single;PS;Satin;-;Multi;Yellow;No;Rice paper;No;No;"""Marketed in Australasia by Polygram Records under exclusive licence"" printed in the back cover footer"
93;David Bowie;Chameleon;Starcall;1979;Commercial;Australia;STAR 101;-;-;LP;1;Black;-;Black and white;Blue;Single;AS;Laminated;-;Multi;White;No;White die cut;No;No;Label matrix numbers (STAR-101A/B) printed below cat.no. (STAR 101) on the labels
94;David Bowie;Super Star;Armando Curcio Editore;1982;Commercial;Italy;SU-1027;-;-;LP;1;Black;-;Black;White and yellow;Gatefold;PS;Glossy;-;Multi;White;No;White die cut;No;No;With booklet
95;David Bowie;La grande storia del rock;Armando Curcio Editore;1982;Commercial;Italy;GSR - 21;-;-;LP;1;Black;-;Blue;Pink and white;Gatefold;PS;Satin;-;Multi;Multi;No;Plain white;No;No;"No. 21 in the series ""La grande storia del rock"""
96;David Bowie;Stage;RCA Victor;1982;Commercial;Germany;PL 02913;PL 02913-1/2;-;LP;2;Black;-;Silver;Black;Gatefold;PS;Glossy;-;White;Multi;DT;White die cut;No;No;"Top rim text with ""RCA Schallplatten"" credits on labels"
97;David Bowie;1980 all clear;RCA;1979;Promo only;USA;DJL1-3545;;;LP;1;Black;-;Black;White;Single;PS;;;Black and white;Black;;;No;;-
98;David Bowie;Bowie now;RCA;1978;Promo only;USA;DJL1-2697;;;LP;1;Black;-;Black;White;Single;AS;;;White;Black;;;No;;-
99;David Bowie;Loving the alien / Don't look down;EMI;1985;Commercial;United Kingdom;EAP 195;-;-;SG;1;Shaped picture disc;-;No label;No label;Plastic;-;Glossy;-;No;Transparent;No;No;No;No;-
100;David Bowie;Underground / Underground (instr.);EMI;1986;Commercial;United Kingdom;EAP-216;-;-;SG;1;Shaped picture disc;-;No label;No label;Plastic;-;Glossy;-;-;Transparent;No;No;No;No;-
